Date,Open,High,Low,Close,Volume
21.04.2021 16:00:00,"40,18","41,86","40,12","41,83",226894
22.04.2021 16:00:00,"42,4","43,45","42,26","42,66",379297
23.04.2021 16:00:00,"42,7","43,88","42,7","43,73",205602
26.04.2021 16:00:00,"44,45","45,11","44,13","45,1",228486
27.04.2021 16:00:00,45,"45,55","44,96","45,46",140269
28.04.2021 16:00:00,"45,33","46,29","45,12","45,83",172253
29.04.2021 16:00:00,"46,26","47,35","46,23","47,2",467235
30.04.2021 16:00:00,"46,84","47,4","46,34","46,74",283534
03.05.2021 16:00:00,"47,19","47,26","46,64","47,17",162920
04.05.2021 16:00:00,"47,14","47,14","46,1","46,52",258088
05.05.2021 16:00:00,"46,15","47,53","46,15","46,95",223083
06.05.2021 16:00:00,"47,34","47,8","46,8","47,74",183162
07.05.2021 16:00:00,"47,94","48,26","47,56","47,78",303777
10.05.2021 16:00:00,"48,15","48,56","47,71","48,06",404476
11.05.2021 16:00:00,"46,95","47,28","46,46","47,1",188181
12.05.2021 16:00:00,"46,53","47,44","46,12","47,09",222950
13.05.2021 16:00:00,"46,44","46,86","45,13","45,82",291623
14.05.2021 16:00:00,"46,07","47,26","45,88","46,36",320880
17.05.2021 16:00:00,"46,57","46,57","45,2","45,45",218235
18.05.2021 16:00:00,"46,07","46,4","45,24","45,45",197994
19.05.2021 16:00:00,"45,28","45,57","44,29","45,37",169553
20.05.2021 16:00:00,"45,18","45,42","44,89","45,34",204789
21.05.2021 16:00:00,"46,4","46,52","46,07","46,26",253569
24.05.2021 16:00:00,"46,28","46,34","45,66","45,74",234508
25.05.2021 16:00:00,"46,82","47,02","45,58","45,6",411758
26.05.2021 16:00:00,"45,86","45,86","45,3","45,49",280129
27.05.2021 16:00:00,"46,45","46,53","45,84","46,24",278456
28.05.2021 16:00:00,"46,48","47,18",46,"46,7",192532
01.06.2021 16:00:00,"47,06","47,64","47,06","47,6",218699
02.06.2021 16:00:00,"47,54","48,65","47,39","48,44",247361
03.06.2021 16:00:00,47,"47,26","45,6","45,77",335537
04.06.2021 16:00:00,"46,19","46,19","44,82","45,59",219902
07.06.2021 16:00:00,"45,63","46,43","45,45","45,6",240084
08.06.2021 16:00:00,"46,38","46,46","45,6","46,02",180489
09.06.2021 16:00:00,"46,62","46,77","45,3","45,86",181602
10.06.2021 16:00:00,"45,23","45,72","44,84","45,15",159517
11.06.2021 16:00:00,"45,75","45,91","45,16","45,47",407196
14.06.2021 16:00:00,"44,73","45,27","44,52","44,93",162042
15.06.2021 16:00:00,"44,98","45,32","44,71","45,17",99249
16.06.2021 16:00:00,"45,05","45,39","44,8","44,93",135299
17.06.2021 16:00:00,"45,49","45,64","44,67","45,19",222734
18.06.2021 16:00:00,"43,98","44,7","43,69","44,12",288203
21.06.2021 16:00:00,"44,32","45,08","44,13","44,78",210625
22.06.2021 16:00:00,"45,11","45,14","44,09","44,32",234217
23.06.2021 16:00:00,"44,55","44,64","43,91","44,01",186446
24.06.2021 16:00:00,"44,28","44,69","44,04","44,2",172296
25.06.2021 16:00:00,"44,1","44,14","43,47","43,73",174204
28.06.2021 16:00:00,"42,77","42,8",42,"42,68",241325
29.06.2021 16:00:00,"42,03","42,95","42,03","42,9",233747
30.06.2021 16:00:00,"42,98","43,47","42,55","43,28",190913
01.07.2021 16:00:00,"44,06","44,46","43,68","43,84",165758
02.07.2021 16:00:00,"44,07","44,74","43,8","44,47",187411
06.07.2021 16:00:00,"44,97","45,15","43,55","43,85",281703
07.07.2021 16:00:00,"43,62","43,7","42,5","42,98",165891
08.07.2021 16:00:00,"42,46","42,95","41,9","42,4",188753
09.07.2021 16:00:00,"42,96","43,28","42,94","43,18",274606
12.07.2021 16:00:00,"43,22","43,22","42,12","42,85",278487
13.07.2021 16:00:00,"42,52","42,52","41,72",42,175520
14.07.2021 16:00:00,42,"42,47","41,71","41,8",431155
